ID	Category	Pattern	Theme	Content	Color
20	מזרז פעולה	ללא היסוס..	בטחון ומוגנות	והידיעה הזו שאת בטוחה פשוט שוקעת בך עמוק עמוק, ללא היסוס, ואת יכולה לשחרר הכל ולתת לי להחזיק אותך	#B3E5FC
21	מזרז פעולה	עכשיו...	רגיעה	ואת יכולה לתת לגל של שלווה לשטוף אותך, עכשיו... ממש עכשיו... מרגישה איך הוא עובר דרכך ולוקח איתו כל מתח, כל לחץ, כל דאגה	#B3E5FC
22	מזרז פעולה	עכשיו...	רגיעה	עכשיו, ממש ברגע הזה, את פשוט מאפשרת לגוף להרפות עד הסוף, ואת צוללת למטה... עמוק יותר... למקום של שקט מוחלט	#B3E5FC
23	מזרז פעולה	עכשיו...	עונג	מרגישה את גלי העונג הזורמים בך, עכשיו... חזק יותר... עוד יותר... כמו חשמל נעים שרץ לאורך כל העמוד שדרה	#B3E5FC
24	מזרז פעולה	עכשיו...	עונג	תני לתחושה הנעימה הזו למלא אותך לגמרי, עכשיו... כל תא, כל סיב, כל רקמה - הכל מתמלא באור של הנאה טהורה	#B3E5FC
25	מזרז פעולה	עכשיו...	משחקיות	דמייני שאת מרחפת באוויר הצח, עכשיו... תרגישי את הרוח הקרירה על העור... את הקלילות... את החופש המוחלט	#B3E5FC
26	מזרז פעולה	עכשיו...	משחקיות	תשחקי עם הדימוי הזה, עכשיו... תני לו לקחת אותך למקומות שלא ידעת שאפשר להגיע אליהם... מעניין... מסקרן... קסום	#B3E5FC
27	מזרז פעולה	עכשיו...	תשוקה	והלהט שלך מתלהט, עכשיו... חזק יותר ויותר... את מרגישה איך האש הזו בוערת בתוכך, צורבת, מלהיבה, קוראת לך	#B3E5FC
28	מזרז פעולה	עכשיו...	תשוקה	את רוצה את זה יותר, עכשיו... ממש עכשיו... הצורך הזה גדל וגדל עד שהוא ממלא את כל המחשבה שלך	#B3E5FC
29	מזרז פעולה	עכשיו...	חופש	משחררת את עצמך מכל מגבלה, עכשיו... תרגישי איך הכבלים נופלים... איך את הופכת חופשיה לגמרי להיות מי שאת	#B3E5FC
30	מזרז פעולה	עכשיו...	חופש	נותנת לעצמך רשות מוחלטת להרגיש הכל, עכשיו... ללא מסננים, ללא שיפוטים, פשוט טהורה ואמיתית	#B3E5FC
31	מזרז פעולה	עכשיו...	שובבות	והתחושה המגרה הזו מתחילה, עכשיו... ממש כאן... קטנה ומשעשעת בהתחלה, ואז היא גדלה... ומתפשטת... ומדגדגת	#B3E5FC
32	מזרז פעולה	עכשיו...	שובבות	הדגדוג השובב והממכר הזה גובר, עכשיו... ואת לא יכולה להתעלם ממנו, לא יכולה לא לחייך, לא יכולה לא ליהנות	#B3E5FC
33	מזרז פעולה	עכשיו...	סקסי	הגוף שלך מתעורר למגע, עכשיו... כל העור שלך הופך רגיש בצורה מטורפת, וכל נגיעה קטנה מרגישה כמו ברק של חשמל	#B3E5FC
34	מזרז פעולה	עכשיו...	סקסי	מרגישה את החושניות עולה בך, עכשיו... בכל נשימה... את הופכת כל כך מודעת לגוף שלך, לתחושות, לרצונות	#B3E5FC
35	מזרז פעולה	עכשיו...	פראיות	והדחף הזה משתלט עליך, עכשיו... בלתי נשלט... פראי... את מרגישה איך השליטה חומקת ממך והאינסטינקטים לוקחים את ההגה	#B3E5FC
36	מזרז פעולה	עכשיו...	פראיות	משגעת לגמרי, עכשיו... תני לזה לקרות... תני לאישה הפראית בך לפרוץ החוצה ולקחת מה שהיא רוצה	#B3E5FC
37	מזרז פעולה	עכשיו...	שמחה	תחושת האקסטזה ממלאת אותך, עכשיו... זורמת בכל ורד, בכל עצב, מאירה אותך מבפנים כמו שמש בוהקת	#B3E5FC
38	מזרז פעולה	עכשיו...	שמחה	את מאושרת לחלוטין, עכשיו... תרגישי את זה... האושר הזה כל כך אמיתי, כל כך טהור, כל כך מושלם	#B3E5FC
39	מזרז פעולה	עכשיו...	בטחון ומוגנות	מרגישה מוחזקת ובטוחה, עכשיו... כאן לידי... יודעת שאני כאן ושאני שומר עליך, מגן עליך	#B3E5FC
40	מזרז פעולה	עכשיו...	בטחון ומוגנות	יודעת שאת במקום הכי בטוח בעולם, עכשיו... ואת יכולה לתת לכל העולם להיעלם ופשוט להיות כאן, מוגנת, אהובה	#B3E5FC
41	מזרז פעולה	בדיוק ככה...	רגיעה	בדיוק ככה, את שוקעת עמוק יותר לתוך הרוגע... ועכשיו אפילו יותר... תרגישי איך כל שריר משתחרר, כל נשימה נעשית עמוקה יותר	#B3E5FC
42	מזרז פעולה	בדיוק ככה...	רגיעה	משחררת... מרפה... צוללת... בדיוק ככה... והמחשבות פשוט מתרחקות יותר ויותר, והכל הופך שקט ושלו	#B3E5FC
43	מזרז פעולה	בדיוק ככה...	עונג	מרגישה את העונג גדל וגדל, בדיוק ככה... המשיכי... תני לו למלא אותך... הוא הולך וגובר עם כל רגע	#B3E5FC
44	מזרז פעולה	בדיוק ככה...	עונג	בדיוק ככה, תני לגלי ההנאה לשטוף אותך... נעים יותר ויותר... כל גל חזק יותר מהקודם... מושלם	#B3E5FC
45	מזרז פעולה	בדיוק ככה...	משחקיות	מרגישה את הדימוי מתחזק, בדיוק ככה... לאט לאט הוא הופך בהיר יותר... אמיתי יותר... ואת שם, בתוכו	#B3E5FC
46	מזרז פעולה	בדיוק ככה...	משחקיות	בדיוק ככה, תשחקי עם התחושה... תני לה להוביל אותך... תראי לאן היא לוקחת אותך... מפתיע ונפלא	#B3E5FC
47	מזרז פעולה	בדיוק ככה...	תשוקה	החשק שלך הולך וגדל, בדיוק ככה... עוד ועוד... את מרגישה איך הוא מתלהט בתוכך, שורף, דורש יותר	#B3E5FC
48	מזרז פעולה	בדיוק ככה...	תשוקה	בדיוק ככה, תרגישי איך את רוצה יותר... זה כל כך נכון... הרצון מתעצם ולוקח אותך	#B3E5FC
49	מזרז פעולה	בדיוק ככה...	חופש	בדיוק ככה, תני לעצמך לשחרר את השליטה... זה בסדר... את חופשיה להרגיש, להיות, לחוות	#B3E5FC
50	מזרז פעולה	בדיוק ככה...	חופש	משחררת את כל הכבלים, בדיוק ככה... אחד אחרי השני... והחופש הזה כל כך משחרר, כל כך נכון	#B3E5FC
51	מזרז פעולה	בדיוק ככה...	שובבות	בדיוק ככה, תרגישי איך הדגדוג מתפשט... לאט לאט... יותר ויותר... כל כך משעשע ונעים	#B3E5FC
52	מזרז פעולה	בדיוק ככה...	שובבות	התחושה השובבת גוברת, בדיוק ככה... ואת נהנית, חייכת, משתעשעת מזה... ממכר	#B3E5FC
53	מזרז פעולה	בדיוק ככה...	סקסי	בדיוק ככה, תרגישי איך הגוף מגיב... הופך רגיש יותר... חושני יותר... פתוח לגמרי לתחושות	#B3E5FC
54	מזרז פעולה	בדיוק ככה...	סקסי	מגורה יותר ויותר, בדיוק ככה... המשיכי... תני לחושניות לזרום דרכך... זה כל כך נכון	#B3E5FC
55	מזרז פעולה	בדיוק ככה...	פראיות	בדיוק ככה, תני לדחף לקחת אותך... אל תעצרי... תרגישי את הפראיות עולה... משתלטת	#B3E5FC
56	מזרז פעולה	בדיוק ככה...	פראיות	פראית ומשוחררת לגמרי, בדיוק ככה... כל הכוח הזה פורץ ממך... עוצמתי ובלתי נשלט	#B3E5FC
57	מזרז פעולה	בדיוק ככה...	שמחה	בדיוק ככה, תרגישי איך השמחה עולה בך... הולכת וגדלה... מאירה את כל פניך... נפלא	#B3E5FC
58	מזרז פעולה	בדיוק ככה...	שמחה	מאושרת יותר ויותר, בדיוק ככה... תמשיכי... תני לאושר הזה למלא אותך לגמרי	#B3E5FC
59	מזרז פעולה	בדיוק ככה...	בטחון ומוגנות	בדיוק ככה, תרפי ותני לי להחזיק אותך... בטוחה... את יכולה לשחרר הכל עכשיו	#B3E5FC
60	מזרז פעולה	בדיוק ככה...	בטחון ומוגנות	מוגנת לחלוטין, בדיוק ככה... תרגישי את התחושה הזו... כל כך בטוחה, כל כך נשמרת	#B3E5FC
61	מזרז פעולה	בפשטות, בקלילות, בטבעיות	רגיעה	ואת יכולה לאפשר לעצמך לנשום עמוק, בפשטות ובקלילות... כל פעם יותר... והנשימה לוקחת אותך עמוק יותר לתוך השקט	#B3E5FC
62	מזרז פעולה	בפשטות, בקלילות, בטבעיות	רגיעה	שוקעת לתוך הרגיעה, בפשטות, בקלילות, בטבעיות... ללא מאמץ... ללא מחשבה... פשוט מתרחש	#B3E5FC
63	מזרז פעולה	בפשטות, בקלילות, בטבעיות	עונג	מרגישה את העונג זורם בך, בפשטות, בקלילות, בטבעיות... הגוף יודע איך להנות, פשוט נותנת לו	#B3E5FC
64	מזרז פעולה	בפשטות, בקלילות, בטבעיות	עונג	תני לתחושה הנעימה למלא אותך, בפשטות... זה כל כך טבעי... כל כך קל... והכל מרגיש כל כך טוב	#B3E5FC
65	מזרז פעולה	בפשטות, בקלילות, בטבעיות	משחקיות	דמייני את עצמך עפה בשמיים, בפשטות, בקלילות... זה כל כך קל... כמו ציפור, חופשיה, קלילה	#B3E5FC
66	מזרז פעולה	בפשטות, בקלילות, בטבעיות	משחקיות	תשחקי עם הדימוי, בפשטות ובטבעיות... תהני מהקלילות... מהחופש... מהתחושה הנפלאה	#B3E5FC
67	מזרז פעולה	בפשטות, בקלילות, בטבעיות	תשוקה	את רוצה את זה, בפשטות, בקלילות, בטבעיות... זה מותר... זה נכון... הרצון זורם דרכך	#B3E5FC
68	מזרז פעולה	בפשטות, בקלילות, בטבעיות	תשוקה	החשק עולה בך, בפשטות... כל כך טבעי... כל כך אמיתי... פשוט תני לו להיות	#B3E5FC
69	מזרז פעולה	בפשטות, בקלילות, בטבעיות	חופש	משחררת את עצמך, בפשטות, בקלילות, בטבעיות... חופשיה להיות מי שאת... ללא מסכות, ללא חומות	#B3E5FC
70	מזרז פעולה	בפשטות, בקלילות, בטבעיות	חופש	נותנת לעצמך חופש מוחלט, בפשטות... זה מה שצריך... פשוט להיות, לחוות, להרגיש	#B3E5FC
71	מזרז פעולה	בפשטות, בקלילות, בטבעיות	שובבות	התחושה המשעשעת באה, בפשטות, בקלילות... תהני מהדגדוג... מהתחושה הנעימה והקלילה	#B3E5FC
72	מזרז פעולה	בפשטות, בקלילות, בטבעיות	שובבות	מרגישה את השובבות עולה בך, בפשטות ובטבעיות... כיפית, משחררת, נעימה	#B3E5FC
73	מזרז פעולה	בפשטות, בקלילות, בטבעיות	סקסי	הגוף שלך מגיב, בפשטות, בקלילות, בטבעיות... חושני וטבעי... זה מי שאת באמת	#B3E5FC
74	מזרז פעולה	בפשטות, בקלילות, בטבעיות	סקסי	מרגישה את החושניות שלך, בפשטות... זה כל כך טבעי... כל כך נכון... פשוט זורם	#B3E5FC
75	מזרז פעולה	בפשטות, בקלילות, בטבעיות	פראיות	משתחררת לגמרי, בפשטות, בקלילות... פראית וחופשיה... זה כל כך טבעי לך	#B3E5FC
76	מזרז פעולה	בפשטות, בקלילות, בטבעיות	פראיות	הדחף לוקח אותך, בפשטות ובטבעיות... אל תעצרי... פשוט תני לו להוביל אותך	#B3E5FC
77	מזרז פעולה	בפשטות, בקלילות, בטבעיות	שמחה	מאושרת לגמרי, בפשטות, בקלילות, בטבעיות... זה נפלא... השמחה פשוט זורמת דרכך	#B3E5FC
78	מזרז פעולה	בפשטות, בקלילות, בטבעיות	שמחה	תחושת האושר ממלאת אותך, בפשטות... כל כך יפה... כל כך טהור... כל כך נכון	#B3E5FC
79	מזרז פעולה	בפשטות, בקלילות, בטבעיות	בטחון ומוגנות	מרגישה בטוחה, בפשטות, בקלילות, בטבעיות... מוחזקת ונשמרת... זה כל כך טבעי	#B3E5FC
80	מזרז פעולה	בפשטות, בקלילות, בטבעיות	בטחון ומוגנות	יודעת שאת מוגנת, בפשטות... תרפי לתוך התחושה הזו... בטוחה לגמרי	#B3E5FC
81	מזרז פעולה	ללא מאמץ	רגיעה	וכל מה שאת צריכה לעשות עכשיו זה רק להקשיב לקול שלי ולהרפות מהכל, ללא מאמץ, ללא מחשבה... פשוט שוקעת	#B3E5FC
82	מזרז פעולה	ללא מאמץ	רגיעה	נסחפת פנימה לשלווה עמוקה עכשיו, ללא מאמץ... פשוט צוללת עוד יותר ועוד יותר עמוק... והכל קורה מעצמו	#B3E5FC
83	מזרז פעולה	ללא מאמץ	עונג	העונג זורם בך ללא מאמץ... פשוט תני לו... הגוף יודע איך להרגיש טוב, אין צורך לעשות כלום	#B3E5FC
84	מזרז פעולה	ללא מאמץ	עונג	מרגישה טוב יותר ויותר, ללא מאמץ... זה פשוט קורה... גל אחרי גל של הנאה משטף אותך	#B3E5FC
85	מזרז פעולה	ללא מאמץ	משחקיות	היד שלך עולה מעצמה, ללא מאמץ... רק צפי בה... מרחפת למעלה כאילו משהו מושך אותה	#B3E5FC
86	מזרז פעולה	ללא מאמץ	משחקיות	הדימוי מתעורר בך ללא מאמץ... כל כך קל... פשוט מופיע לפניך, חי, אמיתי, קסום	#B3E5FC
87	מזרז פעולה	ללא מאמץ	תשוקה	את רוצה את זה יותר ויותר, ללא מאמץ... הרצון פשוט גדל מעצמו... מתעצם ולוקח אותך	#B3E5FC
88	מזרז פעולה	ללא מאמץ	תשוקה	החשק מתפתח בך ללא מאמץ, אוטומטית... את לא צריכה לעשות כלום, הוא פשוט שם, גדל, מציף אותך	#B3E5FC
89	מזרז פעולה	ללא מאמץ	חופש	משחררת הכל ללא מאמץ... פשוט נותנת לזה ללכת... והחופש הזה כל כך משחרר, כל כך קל	#B3E5FC
90	מזרז פעולה	ללא מאמץ	חופש	חופשיה לחלוטין, ללא מאמץ... זה כל כך טבעי... פשוט מתרחש... והכל מרגיש נכון	#B3E5FC
91	מזרז פעולה	ללא מאמץ	שובבות	הדגדוג מתחיל ללא מאמץ... פשוט שם... משעשע ונעים... אין צורך לעשות כלום	#B3E5FC
92	מזרז פעולה	ללא מאמץ	שובבות	התחושה השובבת באה ללא מאמץ מצידך... פשוט מופיעה, גדלה, מדגדגת, מענגת	#B3E5FC
93	מזרז פעולה	ללא מאמץ	סקסי	הגוף שלך מגיב ללא מאמץ... אוטומטי וחושני... זה פשוט קורה, טבעי לגמרי	#B3E5FC
94	מזרז פעולה	ללא מאמץ	סקסי	מרגישה מגורה ללא מאמץ... זה פשוט שם... החושניות זורמת דרכך מעצמה	#B3E5FC
95	מזרז פעולה	ללא מאמץ	פראיות	משתחררת לגמרי ללא מאמץ... פראית וחופשיה... האינסטינקטים פשוט לוקחים אותך	#B3E5FC
96	מזרז פעולה	ללא מאמץ	פראיות	הדחף גובר ללא מאמץ מצידך... בלתי נשלט... פשוט קורה... ואת נסחפת איתו	#B3E5FC
97	מזרז פעולה	ללא מאמץ	שמחה	השמחה עולה בך ללא מאמץ... פשוט שם... מאירה אותך מבפנים... ואת פשוט נהנית	#B3E5FC
98	מזרז פעולה	ללא מאמץ	שמחה	מאושרת יותר ויותר, ללא מאמץ... זה נפלא... האושר פשוט ממלא אותך	#B3E5FC
99	מזרז פעולה	ללא מאמץ	בטחון ומוגנות	מרגישה בטוחה ללא מאמץ... פשוט יודעת... התחושה של ביטחון כל כך עמוקה	#B3E5FC
100	מזרז פעולה	ללא מאמץ	בטחון ומוגנות	נרגעת לתוך התחושה המוגנת, ללא מאמץ... פשוט שוקעת לתוכה... בטוחה ושלווה	#B3E5FC
101	מזרז פעולה	מיד... בבת אחת...	רגיעה	ברגע שאת שומעת אותי אומר "לישון" את צונחת מיד... העיניים נעצמות, הגוף רפוי... בבת אחת... והכל נעלם	#B3E5FC
102	מזרז פעולה	מיד... בבת אחת...	רגיעה	תרגישי מה קורה עכשיו... שקט... כל הגוף נרגע מיד... בבת אחת... צולל למטה לתוך רגיעה מושלמת	#B3E5FC
103	מזרז פעולה	מיד... בבת אחת...	עונג	גל של עונג שוטף אותך מיד... בבת אחת... כל הגוף מתמלא בתחושה נעימה, חמה, מענגת	#B3E5FC
104	מזרז פעולה	מיד... בבת אחת...	עונג	התחושה הנעימה מתפוצצת בך, מיד, בבת אחת... והיא גדלה וגדלה עד שזה כל מה שיש	#B3E5FC
105	מזרז פעולה	מיד... בבת אחת...	משחקיות	היד שלך קופאת במקום, מיד... בבת אחת... מעניין איך היא פשוט לא זזה, כאילו דבוקה לאוויר	#B3E5FC
106	מזרז פעולה	מיד... בבת אחת...	משחקיות	הדימוי מתעורר בך מיד, בבת אחת... תראי... הוא כאן, בהיר, חי, וואו... כל כך אמיתי	#B3E5FC
107	מזרז פעולה	מיד... בבת אחת...	תשוקה	את רוצה את זה כל כך, מיד... בבת אחת... הרצון פשוט מציף אותך, תופס את כל המחשבה	#B3E5FC
108	מזרז פעולה	מיד... בבת אחת...	תשוקה	החשק מציף אותך מיד, בבת אחת... בכל תא, בכל עצב... והוא כל כך חזק, כל כך דוחף	#B3E5FC
109	מזרז פעולה	מיד... בבת אחת...	חופש	משתחררת לגמרי, מיד... בבת אחת... כל המגבלות פשוט נופלות... ואת חופשיה	#B3E5FC
110	מזרז פעולה	מיד... בבת אחת...	חופש	כל הכבלים נעלמים מיד, בבת אחת... ואת נשארת חופשיה לגמרי להיות, להרגיש, לחוות	#B3E5FC
111	מזרז פעולה	מיד... בבת אחת...	שובבות	הדגדוג מתחיל מיד... בבת אחת... ממש כאן... והוא כל כך משעשע ונעים	#B3E5FC
112	מזרז פעולה	מיד... בבת אחת...	שובבות	התחושה המשעשעת תוקפת מיד, בבת אחת... ואת פשוט מתפרצת בחיוך, נהנית	#B3E5FC
113	מזרז פעולה	מיד... בבת אחת...	סקסי	הגוף שלך מתעורר מיד... בבת אחת... רגיש לגמרי... כל העור מגיב למגע הקל ביותר	#B3E5FC
114	מזרז פעולה	מיד... בבת אחת...	סקסי	מרגישה חושנית מאוד, מיד, בבת אחת... הגוף יודע מה הוא רוצה ולוקח את זה	#B3E5FC
115	מזרז פעולה	מיד... בבת אחת...	פראיות	הדחף משתלט עליך מיד... בבת אחת... כל כולך... ואת פשוט נסחפת איתו, פראית וחופשיה	#B3E5FC
116	מזרז פעולה	מיד... בבת אחת...	פראיות	משגעת לגמרי, מיד, בבת אחת... לא יכולה לעצור... הפראיות פשוט פורצת	#B3E5FC
117	מזרז פעולה	מיד... בבת אחת...	שמחה	תחושת אושר ממלאת אותך מיד... בבת אחת... נפלא... זה כל כך עמוק, כל כך אמיתי	#B3E5FC
118	מזרז פעולה	מיד... בבת אחת...	שמחה	מאושרת לחלוטין, מיד, בבת אחת... השמחה פשוט מציפה אותך, מאירה אותך	#B3E5FC
119	מזרז פעולה	מיד... בבת אחת...	בטחון ומוגנות	מרגישה בטוחה מיד... בבת אחת... מוחזקת ונשמרת... יודעת שהכל בסדר	#B3E5FC
120	מזרז פעולה	מיד... בבת אחת...	בטחון ומוגנות	יודעת שאת מוגנת, מיד, בבת אחת... התחושה הזו כל כך חזקה, כל כך אמיתית	#B3E5FC
121	מזרז פעולה	כל פעם מהר יותר, כל פעם עמוק יותר	רגיעה	וכל פעם כשאני אומר את המילה הזו את מרגישה את השקט כל פעם מהר יותר... כל פעם עמוק יותר... צוללת למטה	#B3E5FC
122	מזרז פעולה	כל פעם מהר יותר, כל פעם עמוק יותר	רגיעה	כל נשימה וכל נשיפה לוקחת אותך עמוק יותר... צוללת כל פעם מהר יותר... למטה... למטה... לתוך הרוגע	#B3E5FC
123	מזרז פעולה	כל פעם מהר יותר, כל פעם עמוק יותר	עונג	העונג גובר כל פעם מהר יותר... כל פעם עמוק יותר... גל אחרי גל, כל אחד חזק יותר מהקודם	#B3E5FC
124	מזרז פעולה	כל פעם מהר יותר, כל פעם עמוק יותר	עונג	מרגישה טוב יותר, כל פעם מהר יותר... זה מתעצם... הולך וגדל... והכל נעים יותר ויותר	#B3E5FC
125	מזרז פעולה	כל פעם מהר יותר, כל פעם עמוק יותר	משחקיות	הדימוי מתחזק כל פעם מהר יותר... כל פעם בהיר יותר... והוא הופך אמיתי יותר ויותר	#B3E5FC
126	מזרז פעולה	כל פעם מהר יותר, כל פעם עמוק יותר	משחקיות	התחושה המעניינת גדלה כל פעם מהר יותר... יותר מסקרנת, יותר משעשעת, יותר קסומה	#B3E5FC
127	מזרז פעולה	כל פעם מהר יותר, כל פעם עמוק יותר	תשוקה	את רוצה את זה יותר, כל פעם מהר יותר... כל פעם חזק יותר... הרצון גדל וגדל ולוקח אותך	#B3E5FC
128	מזרז פעולה	כל פעם מהר יותר, כל פעם עמוק יותר	תשוקה	החשק מתגבר כל פעם מהר יותר... כל פעם עוצמתי יותר... והוא משתלט עליך לגמרי	#B3E5FC
129	מזרז פעולה	כל פעם מהר יותר, כל פעם עמוק יותר	חופש	משתחררת יותר, כל פעם מהר יותר... כל פעם עמוק יותר... החופש הזה גדל ומתרחב	#B3E5FC
130	מזרז פעולה	כל פעם מהר יותר, כל פעם עמוק יותר	חופש	חופשיה יותר ויותר, כל פעם מהר יותר... כל חומה נופלת... כל מגבלה נעלמת	#B3E5FC
131	מזרז פעולה	כל פעם מהר יותר, כל פעם עמוק יותר	שובבות	הדגדוג גובר כל פעם מהר יותר... כל פעם מגרה יותר... והוא מתפשט ומדגדג	#B3E5FC
132	מזרז פעולה	כל פעם מהר יותר, כל פעם עמוק יותר	שובבות	התחושה השובבת מתעצמת כל פעם מהר יותר... יותר משעשעת, יותר נעימה, יותר ממכרת	#B3E5FC
133	מזרז פעולה	כל פעם מהר יותר, כל פעם עמוק יותר	סקסי	הגוף שלך מגיב חזק יותר, כל פעם מהר יותר... כל פעם רגיש יותר... החושניות גוברת	#B3E5FC
134	מזרז פעולה	כל פעם מהר יותר, כל פעם עמוק יותר	סקסי	מרגישה מגורה יותר, כל פעם מהר יותר... העור רגיש יותר... הרצון עולה	#B3E5FC
135	מזרז פעולה	כל פעם מהר יותר, כל פעם עמוק יותר	פראיות	הדחף משתלט יותר, כל פעם מהר יותר... כל פעם עוצמתי יותר... והוא לוקח אותך לגמרי	#B3E5FC
136	מזרז פעולה	כל פעם מהר יותר, כל פעם עמוק יותר	פראיות	משגעת יותר, כל פעם מהר יותר... לא יכולה לעצור... הפראיות גוברת ושואבת אותך	#B3E5FC
137	מזרז פעולה	כל פעם מהר יותר, כל פעם עמוק יותר	שמחה	השמחה גדלה כל פעם מהר יותר... כל פעם זוהר יותר... מאירה אותך מבפנים	#B3E5FC
138	מזרז פעולה	כל פעם מהר יותר, כל פעם עמוק יותר	שמחה	מאושרת יותר, כל פעם מהר יותר... האושר ממלא אותך יותר ויותר... כל כך נפלא	#B3E5FC
139	מזרז פעולה	כל פעם מהר יותר, כל פעם עמוק יותר	בטחון ומוגנות	מרגישה בטוחה יותר, כל פעם מהר יותר... כל פעם עמוק יותר... התחושה גוברת	#B3E5FC
140	מזרז פעולה	כל פעם מהר יותר, כל פעם עמוק יותר	בטחון ומוגנות	נרגעת לתוך התחושה המוגנת, כל פעם מהר יותר... יותר בטוחה, יותר שלווה	#B3E5FC
141	מזרז פעולה	אוטומטית ללא מחשבה	רגיעה	מרגישה איך הגוף נרגע, אוטומטית עכשיו, ללא מחשבה... פשוט קורה... הוא יודע מה לעשות	#B3E5FC
142	מזרז פעולה	אוטומטית ללא מחשבה	רגיעה	וזה מרגיש כל כך טוב פשוט לשקוע, ללא מחשבה, ללא מאמץ... אוטומטית... הגוף לוקח אותך למטה	#B3E5FC
