ID	Category	Pattern	Type	Theme	Content	Color					
36	Action Accelerator	Now...	Dynamic	Wildness	driving you completely wild, **now**... let it happen... let the wild woman in you break out and take what she wants	#B3E5FC					
37	Action Accelerator	Now...	Dynamic	Joy	the feeling of ecstasy fills you, **now**... flowing in every vein, in every nerve, lighting you up from the inside like a bright sun	#B3E5FC					
38	Action Accelerator	Now...	Dynamic	Joy	you are completely happy, **now**... feel it... this happiness is so real, so pure, so perfect	#B3E5FC					
39	Action Accelerator	Now...	Dynamic	Safety & Trust	feeling held and safe, **now**... right here next to me... knowing that I am here and that I am watching over you, protecting you	#B3E5FC					
40	Action Accelerator	Now...	Dynamic	Safety & Trust	knowing that you are in the safest place in the world, **now**... and you can let the whole world fade away and just be here, protected, loved	#B3E5FC					
41	Action Accelerator	Exactly like that...	Dynamic	Relaxation	**exactly like that**, you sink deeper into the relaxation... and now even more... feel how every muscle releases, every breath becomes deeper	#B3E5FC					
42	Action Accelerator	Exactly like that...	Dynamic	Relaxation	releasing... letting go... diving... **exactly like that**... and the thoughts just drift further and further away, and everything becomes quiet and peaceful	#B3E5FC					
43	Action Accelerator	Exactly like that...	Dynamic	Pleasure	feeling the pleasure grow and grow, **exactly like that**... keep going... let it fill you... it keeps intensifying with every moment	#B3E5FC					
44	Action Accelerator	Exactly like that...	Dynamic	Pleasure	**exactly like that**, let the waves of enjoyment wash over you... more and more pleasant... each wave stronger than the last... perfect	#B3E5FC					
45	Action Accelerator	Exactly like that...	Dynamic	Playfulness	feeling the image getting stronger, **exactly like that**... slowly it becomes clearer... more real... and you are there, inside it	#B3E5FC					
46	Action Accelerator	Exactly like that...	Dynamic	Playfulness	**exactly like that**, play with the sensation... let it guide you... see where it takes you... surprising and wonderful	#B3E5FC					
47	Action Accelerator	Exactly like that...	Dynamic	Desire	your craving keeps growing, **exactly like that**... more and more... you feel how it ignites inside you, burning, demanding more	#B3E5FC					
48	Action Accelerator	Exactly like that...	Dynamic	Desire	**exactly like that**, feel how you want more... it is so right... the desire intensifies and takes you over	#B3E5FC					
49	Action Accelerator	Exactly like that...	Dynamic	Freedom	**exactly like that**, let yourself release control... it's okay... you are free to feel, to be, to experience	#B3E5FC					
50	Action Accelerator	Exactly like that...	Dynamic	Freedom	releasing all the chains, **exactly like that**... one after the other... and this freedom is so liberating, so right	#B3E5FC					
51	Action Accelerator	Exactly like that...	Dynamic	Mischief	**exactly like that**, feel how the tickle spreads... slowly slowly... more and more... so amusing and pleasant	#B3E5FC					
52	Action Accelerator	Exactly like that...	Dynamic	Mischief	the mischievous sensation grows, **exactly like that**... and you enjoy it, smiling, amused by it... addictive	#B3E5FC					
53	Action Accelerator	Exactly like that...	Dynamic	Sexy	**exactly like that**, feel how the body responds... becoming more sensitive... more sensual... completely open to the sensations	#B3E5FC					
54	Action Accelerator	Exactly like that...	Dynamic	Sexy	more and more aroused, **exactly like that**... keep going... let the sensuality flow through you... it is so right	#B3E5FC					
55	Action Accelerator	Exactly like that...	Dynamic	Wildness	**exactly like that**, let the urge take you... don't stop... feel the wildness rising... taking over	#B3E5FC					
56	Action Accelerator	Exactly like that...	Dynamic	Wildness	completely wild and untamed, **exactly like that**... all this power bursts from you... forceful and uncontrollable	#B3E5FC					
57	Action Accelerator	Exactly like that...	Dynamic	Joy	**exactly like that**, feel how the joy rises within you... growing larger... lighting up your entire face... wonderful	#B3E5FC					
58	Action Accelerator	Exactly like that...	Dynamic	Joy	happier and happier, **exactly like that**... keep going... let this happiness fill you completely	#B3E5FC					
59	Action Accelerator	Exactly like that...	Dynamic	Safety & Trust	**exactly like that**, relax and let me hold you... safe... you can let go of everything now	#B3E5FC					
60	Action Accelerator	Exactly like that...	Dynamic	Safety & Trust	perfectly protected, **exactly like that**... feel this sensation... so safe, so guarded	#B3E5FC					
61	Action Accelerator	Simply, lightly, naturally	Dynamic	Relaxation	and you can allow yourself to breathe deeply, **simply, lightly, naturally**... more each time... and the breath takes you deeper into the quiet	#B3E5FC					
62	Action Accelerator	Simply, lightly, naturally	Dynamic	Relaxation	sinking into the relaxation, **simply, lightly, naturally**... without effort... without thinking... it just happens	#B3E5FC					
63	Action Accelerator	Simply, lightly, naturally	Dynamic	Pleasure	feeling the pleasure flowing through you, **simply, lightly, naturally**... the body knows how to enjoy, just letting it	#B3E5FC					
64	Action Accelerator	Simply, lightly, naturally	Dynamic	Pleasure	let the pleasant sensation fill you, **simply, lightly, naturally**... it is so natural... so easy... and everything feels so good	#B3E5FC					
65	Action Accelerator	Simply, lightly, naturally	Dynamic	Playfulness	imagine yourself flying in the sky, **simply, lightly, naturally**... it's so easy... like a bird, free, light	#B3E5FC					
66	Action Accelerator	Simply, lightly, naturally	Dynamic	Playfulness	play with the image, **simply, lightly, naturally**... enjoy the lightness... the freedom... the wonderful feeling	#B3E5FC					
67	Action Accelerator	Simply, lightly, naturally	Dynamic	Desire	you want it, **simply, lightly, naturally**... it is allowed... it is right... the desire flows through you	#B3E5FC					
68	Action Accelerator	Simply, lightly, naturally	Dynamic	Desire	the craving rises in you, **simply, lightly, naturally**... so natural... so real... just let it be	#B3E5FC					
69	Action Accelerator	Simply, lightly, naturally	Dynamic	Freedom	setting yourself free, **simply, lightly, naturally**... free to be who you are... no masks, no walls	#B3E5FC					
70	Action Accelerator	Simply, lightly, naturally	Dynamic	Freedom	giving yourself absolute freedom, **simply, lightly, naturally**... this is what's needed... just to be, to experience, to feel	#B3E5FC					
71	Action Accelerator	Simply, lightly, naturally	Dynamic	Mischief	the amusing sensation comes, **simply, lightly, naturally**... enjoy the tickle... the pleasant and light feeling	#B3E5FC					
72	Action Accelerator	Simply, lightly, naturally	Dynamic	Mischief	feeling the mischief rising in you, **simply, lightly, naturally**... fun, liberating, pleasant	#B3E5FC					
73	Action Accelerator	Simply, lightly, naturally	Dynamic	Sexy	your body responds, **simply, lightly, naturally**... sensual and natural... this is who you truly are	#B3E5FC					
74	Action Accelerator	Simply, lightly, naturally	Dynamic	Sexy	feeling your sensuality, **simply, lightly, naturally**... it is so natural... so right... simply flowing	#B3E5FC					
75	Action Accelerator	Simply, lightly, naturally	Dynamic	Wildness	letting go completely, **simply, lightly, naturally**... wild and free... it comes so naturally to you	#B3E5FC					
76	Action Accelerator	Simply, lightly, naturally	Dynamic	Wildness	the urge takes you, **simply, lightly, naturally**... don't hold back... just let it guide you	#B3E5FC					
77	Action Accelerator	Simply, lightly, naturally	Dynamic	Joy	completely happy, **simply, lightly, naturally**... it's wonderful... the joy simply flows through you	#B3E5FC					
78	Action Accelerator	Simply, lightly, naturally	Dynamic	Joy	the feeling of happiness fills you, **simply, lightly, naturally**... so beautiful... so pure... so right	#B3E5FC					
79	Action Accelerator	Simply, lightly, naturally	Dynamic	Safety & Trust	feeling safe, **simply, lightly, naturally**... held and guarded... it is so natural	#B3E5FC					
80	Action Accelerator	Simply, lightly, naturally	Dynamic	Safety & Trust	knowing that you are protected, **simply, lightly, naturally**... relax into this feeling... completely safe	#B3E5FC					
81	Action Accelerator	Effortlessly...	Dynamic	Relaxation	and all you need to do now is just listen to my voice and let go of everything, **effortlessly**... without thinking... simply sinking	#B3E5FC					
82	Action Accelerator	Effortlessly...	Dynamic	Relaxation	drifting inward to a deep tranquility now, **effortlessly**... simply diving deeper and deeper... and it all happens by itself	#B3E5FC					
83	Action Accelerator	Effortlessly...	Dynamic	Pleasure	the pleasure flows through you **effortlessly**... just let it... the body knows how to feel good, no need to do a thing	#B3E5FC					
84	Action Accelerator	Effortlessly...	Dynamic	Pleasure	feeling better and better, **effortlessly**... it just happens... wave after wave of enjoyment washes over you	#B3E5FC					
85	Action Accelerator	Effortlessly...	Dynamic	Playfulness	your hand rises by itself, **effortlessly**... just watch it... floating up as if something is pulling it	#B3E5FC					
86	Action Accelerator	Effortlessly...	Dynamic	Playfulness	the image awakens in you **effortlessly**... so easy... simply appearing before you, vivid, real, magical	#B3E5FC					
87	Action Accelerator	Effortlessly...	Dynamic	Desire	you want it more and more, **effortlessly**... the desire simply grows on its own... intensifying and taking you over	#B3E5FC					
88	Action Accelerator	Effortlessly...	Dynamic	Desire	the craving develops in you **effortlessly**, automatically... you don't have to do anything, it's just there, growing, flooding you	#B3E5FC					
89	Action Accelerator	Effortlessly...	Dynamic	Freedom	releasing everything **effortlessly**... simply letting it go... and this freedom is so liberating, so easy	#B3E5FC					
90	Action Accelerator	Effortlessly...	Dynamic	Freedom	completely free, **effortlessly**... it is so natural... simply happening... and everything feels right	#B3E5FC					
91	Action Accelerator	Effortlessly...	Dynamic	Mischief	the tickle begins **effortlessly**... just there... amusing and pleasant... no need to do anything	#B3E5FC					
92	Action Accelerator	Effortlessly...	Dynamic	Mischief	the mischievous feeling comes **effortlessly** from your side... simply appearing, growing, tickling, delighting	#B3E5FC					
93	Action Accelerator	Effortlessly...	Dynamic	Sexy	your body responds **effortlessly**... automatic and sensual... it just happens, completely natural	#B3E5FC					
94	Action Accelerator	Effortlessly...	Dynamic	Sexy	feeling aroused **effortlessly**... it's just there... the sensuality flows through you on its own	#B3E5FC					
95	Action Accelerator	Effortlessly...	Dynamic	Wildness	letting go completely **effortlessly**... wild and free... the instincts simply take you	#B3E5FC					
96	Action Accelerator	Effortlessly...	Dynamic	Wildness	the urge grows **effortlessly** from your side... uncontrollable... just happens... and you are swept away with it	#B3E5FC					
97	Action Accelerator	Effortlessly...	Dynamic	Joy	the joy rises in you **effortlessly**... simply there... lighting you up from the inside... and you just enjoy	#B3E5FC					
98	Action Accelerator	Effortlessly...	Dynamic	Joy	happier and happier, **effortlessly**... it's wonderful... the happiness simply fills you	#B3E5FC					
99	Action Accelerator	Effortlessly...	Dynamic	Safety & Trust	feeling safe **effortlessly**... simply knowing... the feeling of safety is so deep	#B3E5FC					
100	Action Accelerator	Effortlessly...	Dynamic	Safety & Trust	relaxing into the protected feeling, **effortlessly**... simply sinking into it... safe and serene	#B3E5FC					
101	Action Accelerator	Instantly... all at once...	Dynamic	Relaxation	The moment you hear me say "sleep", you drop **instantly**... eyes close, body relaxed... **all at once**... and everything fades away	#B3E5FC					
102	Action Accelerator	Instantly... all at once...	Dynamic	Relaxation	Feel what is happening right now... quiet... the whole body relaxes **instantly**... **all at once**... diving down into perfect relaxation	#B3E5FC					
103	Action Accelerator	Instantly... all at once...	Dynamic	Pleasure	A wave of pleasure washes over you **instantly**... **all at once**... the entire body fills with a pleasant, warm, delightful sensation	#B3E5FC					
104	Action Accelerator	Instantly... all at once...	Dynamic	Pleasure	The pleasant sensation explodes within you, **instantly**, **all at once**... and it grows and grows until it is all there is	#B3E5FC					
105	Action Accelerator	Instantly... all at once...	Dynamic	Playfulness	Your hand freezes in place, **instantly**... **all at once**... fascinating how it simply doesn't move, as if glued to the air	#B3E5FC					
106	Action Accelerator	Instantly... all at once...	Dynamic	Playfulness	The image awakens in you **instantly**, **all at once**... look... it's here, bright, alive, wow... so real	#B3E5FC					
107	Action Accelerator	Instantly... all at once...	Dynamic	Desire	You want it so much, **instantly**... **all at once**... the desire simply floods you, taking over every thought	#B3E5FC					
108	Action Accelerator	Instantly... all at once...	Dynamic	Desire	The craving floods you **instantly**, **all at once**... in every cell, in every nerve... and it is so strong, so demanding	#B3E5FC					
109	Action Accelerator	Instantly... all at once...	Dynamic	Freedom	Letting go completely, **instantly**... **all at once**... all limitations simply fall away... and you are free	#B3E5FC					
110	Action Accelerator	Instantly... all at once...	Dynamic	Freedom	All the chains disappear **instantly**, **all at once**... leaving you completely free to be, to feel, to experience	#B3E5FC					
111	Action Accelerator	Instantly... all at once...	Dynamic	Mischief	The tickle begins **instantly**... **all at once**... right here... and it is so amusing and pleasant	#B3E5FC					
112	Action Accelerator	Instantly... all at once...	Dynamic	Mischief	The amusing sensation strikes **instantly**, **all at once**... and you simply break into a smile, enjoying yourself	#B3E5FC					
113	Action Accelerator	Instantly... all at once...	Dynamic	Sexy	Your body awakens **instantly**... **all at once**... completely sensitive... all your skin responding to the lightest touch	#B3E5FC					
114	Action Accelerator	Instantly... all at once...	Dynamic	Sexy	Feeling highly sensual, **instantly**, **all at once**... the body knows what it wants and takes it	#B3E5FC					
115	Action Accelerator	Instantly... all at once...	Dynamic	Wildness	The urge takes over you **instantly**... **all at once**... your entire being... and you are simply swept away with it, wild and free	#B3E5FC					
116	Action Accelerator	Instantly... all at once...	Dynamic	Wildness	Going completely wild, **instantly**, **all at once**... cannot stop... the wildness simply bursts out	#B3E5FC					
117	Action Accelerator	Instantly... all at once...	Dynamic	Joy	A feeling of joy fills you **instantly**... **all at once**... wonderful... it is so deep, so real	#B3E5FC					
118	Action Accelerator	Instantly... all at once...	Dynamic	Joy	Completely happy, **instantly**, **all at once**... the joy simply floods you, illuminating you	#B3E5FC					
119	Action Accelerator	Instantly... all at once...	Dynamic	Safety & Trust	Feeling safe **instantly**... **all at once**... held and guarded... knowing that everything is okay	#B3E5FC					
120	Action Accelerator	Instantly... all at once...	Dynamic	Safety & Trust	Knowing that you are protected, **instantly**, **all at once**... this feeling is so strong, so real	#B3E5FC					
121	Action Accelerator	Faster each time, deeper each time...	Dynamic	Relaxation	And every time I say this word, you feel the quiet **faster each time**, **deeper each time**... diving down	#B3E5FC					
122	Action Accelerator	Faster each time, deeper each time...	Dynamic	Relaxation	Every breath in and every breath out takes you deeper... diving **faster each time**... down... down... into the calm	#B3E5FC					
123	Action Accelerator	Faster each time, deeper each time...	Dynamic	Pleasure	The pleasure intensifies **faster each time**, **deeper each time**... wave after wave, each one stronger than the last	#B3E5FC					
124	Action Accelerator	Faster each time, deeper each time...	Dynamic	Pleasure	Feeling better, **faster each time**... it intensifies... growing larger... and everything feels more and more pleasant	#B3E5FC					
125	Action Accelerator	Faster each time, deeper each time...	Dynamic	Playfulness	The image grows stronger **faster each time**... brighter each time... and it becomes more and more real	#B3E5FC					
126	Action Accelerator	Faster each time, deeper each time...	Dynamic	Playfulness	The interesting sensation grows **faster each time**... more intriguing, more amusing, more magical	#B3E5FC					
127	Action Accelerator	Faster each time, deeper each time...	Dynamic	Desire	You want it more, **faster each time**... stronger each time... the desire grows and grows and takes you over	#B3E5FC					
128	Action Accelerator	Faster each time, deeper each time...	Dynamic	Desire	The craving intensifies **faster each time**... more powerful each time... and it takes over you completely	#B3E5FC					
129	Action Accelerator	Faster each time, deeper each time...	Dynamic	Freedom	Letting go more, **faster each time**, **deeper each time**... this freedom grows and expands	#B3E5FC					
130	Action Accelerator	Faster each time, deeper each time...	Dynamic	Freedom	More and more free, **faster each time**... every wall falls... every limitation disappears	#B3E5FC					
131	Action Accelerator	Faster each time, deeper each time...	Dynamic	Mischief	The tickle intensifies **faster each time**... more arousing each time... and it spreads and tickles	#B3E5FC					
132	Action Accelerator	Faster each time, deeper each time...	Dynamic	Mischief	The mischievous sensation amplifies **faster each time**... more amusing, more pleasant, more addictive	#B3E5FC					
133	Action Accelerator	Faster each time, deeper each time...	Dynamic	Sexy	Your body responds stronger, **faster each time**... more sensitive each time... the sensuality grows	#B3E5FC					
134	Action Accelerator	Faster each time, deeper each time...	Dynamic	Sexy	Feeling more aroused, **faster each time**... the skin is more sensitive... the desire rises	#B3E5FC					
135	Action Accelerator	Faster each time, deeper each time...	Dynamic	Wildness	The urge takes over more, **faster each time**... more powerful each time... and it takes you completely	#B3E5FC					
136	Action Accelerator	Faster each time, deeper each time...	Dynamic	Wildness	Wilder, **faster each time**... cannot stop... the wildness grows and draws you in	#B3E5FC					
137	Action Accelerator	Faster each time, deeper each time...	Dynamic	Joy	The joy grows **faster each time**... more radiant each time... lighting you up from the inside	#B3E5FC					
138	Action Accelerator	Faster each time, deeper each time...	Dynamic	Joy	Happier, **faster each time**... the happiness fills you more and more... so wonderful	#B3E5FC					
139	Action Accelerator	Faster each time, deeper each time...	Dynamic	Safety & Trust	Feeling safer, **faster each time**, **deeper each time**... the sensation grows	#B3E5FC					
140	Action Accelerator	Faster each time, deeper each time...	Dynamic	Safety & Trust	Relaxing into the protected feeling, **faster each time**... safer, more serene	#B3E5FC					
141	Action Accelerator	Automatically, without thinking...	Dynamic	Relaxation	Feeling how the body relaxes, **automatically** now, **without thinking**... it just happens... it knows what to do	#B3E5FC					
142	Action Accelerator	Automatically, without thinking...	Dynamic	Relaxation	And it feels so good to just sink, **without thinking**, without effort... **automatically**... the body takes you down	#B3E5FC					
143	Action Accelerator	Automatically, without thinking...	Dynamic	Pleasure	The pleasure flows through you **automatically**, **without thinking**... it just happens... the body knows how to enjoy	#B3E5FC					
144	Action Accelerator	Automatically, without thinking...	Dynamic	Pleasure	Your body knows how to feel good, **automatically**, **without thinking**... just letting it... and it takes over	#B3E5FC					
145	Action Accelerator	Automatically, without thinking...	Dynamic	Playfulness	Your hand moves on its own, **automatically**, **without thinking**... just watch... interesting to see where it goes	#B3E5FC					
146	Action Accelerator	Automatically, without thinking...	Dynamic	Playfulness	The image awakens **automatically**, **without thinking** on your part... simply appearing, bright and alive	#B3E5FC					
147	Action Accelerator	Automatically, without thinking...	Dynamic	Desire	You want it, **automatically**, **without thinking**... simply there... the desire rises on its own, deep from within	#B3E5FC					
148	Action Accelerator	Automatically, without thinking...	Dynamic	Desire	The craving rises in you **automatically** now, **without thinking**... the body knows what it wants	#B3E5FC					
149	Action Accelerator	Automatically, without thinking...	Dynamic	Freedom	Letting go of everything **automatically**, **without thinking**... it happens... everything simply falls, disappears	#B3E5FC					
150	Action Accelerator	Automatically, without thinking...	Dynamic	Freedom	Giving yourself freedom, **automatically**, **without thinking**... it simply comes, liberating, expanding	#B3E5FC					
151	Action Accelerator	Automatically, without thinking...	Dynamic	Mischief	The tickle begins **automatically**, **without thinking** on your part... simply there... amusing and pleasant	#B3E5FC					
152	Action Accelerator	Automatically, without thinking...	Dynamic	Mischief	The amusing sensation comes **automatically**, **without thinking**... tickling, delighting, liberating	#B3E5FC					
153	Action Accelerator	Automatically, without thinking...	Dynamic	Sexy	Your body responds to my voice, **automatically** now, **without thinking**... sensitive, open, ready	#B3E5FC					
154	Action Accelerator	Automatically, without thinking...	Dynamic	Sexy	Feeling aroused, **automatically**, **without thinking**... the sensuality simply flows through you	#B3E5FC					
155	Action Accelerator	Automatically, without thinking...	Dynamic	Wildness	The urge takes you, **automatically**, **without thinking**... uncontrollable... the instincts rule	#B3E5FC					
156	Action Accelerator	Automatically, without thinking...	Dynamic	Wildness	Letting go completely, **automatically** now, **without thinking**... wild and free	#B3E5FC					
157	Action Accelerator	Automatically, without thinking...	Dynamic	Joy	The joy rises in you **automatically**, **without thinking**... simply there... lighting you up	#B3E5FC					
158	Action Accelerator	Automatically, without thinking...	Dynamic	Joy	Completely happy, **automatically**, **without thinking**... the happiness simply flows through you	#B3E5FC					
159	Action Accelerator	Automatically, without thinking...	Dynamic	Safety & Trust	Feeling safe, **automatically**, **without thinking**... simply knowing... the feeling is so deep	#B3E5FC					
160	Action Accelerator	Automatically, without thinking...	Dynamic	Safety & Trust	Relaxing into the protected feeling, **automatically**, **without thinking**... the body knows it is safe	#B3E5FC					
161	Action Accelerator	Instinctively...	Dynamic	Relaxation	Every time relaxing **instinctively**... faster each time... deeper each time... the body simply knows	#B3E5FC					
162	Action Accelerator	Instinctively...	Dynamic	Relaxation	Now, let the body sink deeper, and it happens within you **instinctively** now... completely natural	#B3E5FC					
163	Action Accelerator	Instinctively...	Dynamic	Pleasure	Your body knows how to feel pleasure, **instinctively**, now... it is part of you, deep inside	#B3E5FC					
164	Action Accelerator	Instinctively...	Dynamic	Pleasure	Feeling better **instinctively**... it is natural in you... the body simply takes the enjoyment	#B3E5FC					
165	Action Accelerator	Instinctively...	Dynamic	Playfulness	The image awakens in you **instinctively**... like a child playing, natural, free, light	#B3E5FC					
166	Action Accelerator	Instinctively...	Dynamic	Playfulness	The interesting sensation comes **instinctively**... the curiosity, the playfulness - it is part of you	#B3E5FC					
167	Action Accelerator	Instinctively...	Dynamic	Desire	You want it **instinctively**... it is a part of you... the desire rises from the depths of your being	#B3E5FC					
168	Action Accelerator	Instinctively...	Dynamic	Desire	The craving rises in you **instinctively**, deep from within... it is who you are, it is what you are	#B3E5FC					
169	Action Accelerator	Instinctively...	Dynamic	Freedom	Letting go **instinctively**... it comes naturally to you... this freedom lives inside you	#B3E5FC					
170	Action Accelerator	Instinctively...	Dynamic	Freedom	Giving yourself freedom, **instinctively**, without thinking... this is what your soul thirsts for	#B3E5FC					
171	Action Accelerator	Instinctively...	Dynamic	Mischief	Your mischievous side awakens **instinctively**... it is part of who you truly are	#B3E5FC					
172	Action Accelerator	Instinctively...	Dynamic	Mischief	The arousing sensation comes **instinctively**... simply there... natural and pleasant	#B3E5FC					
173	Action Accelerator	Instinctively...	Dynamic	Sexy	Your body responds **instinctively**... sensual and open... it is your nature	#B3E5FC					
174	Action Accelerator	Instinctively...	Dynamic	Sexy	Feeling your sensuality, **instinctively**, now... this is the woman you are	#B3E5FC					
175	Action Accelerator	Instinctively...	Dynamic	Wildness	The wild woman in you awakens **instinctively**... she lives there, deep down, waiting	#B3E5FC					
176	Action Accelerator	Instinctively...	Dynamic	Wildness	The urge takes over **instinctively**... uncontrollable... this is the animal in you, the true nature	#B3E5FC					
177	Action Accelerator	Instinctively...	Dynamic	Joy	The joy bursts from you **instinctively**... natural... this is who you are when you are free	#B3E5FC					
178	Action Accelerator	Instinctively...	Dynamic	Joy	Happy **instinctively**... it is who you are... happiness is your true nature	#B3E5FC					
179	Action Accelerator	Instinctively...	Dynamic	Safety & Trust	Feeling safe **instinctively**... the body knows... it recognizes the safety	#B3E5FC					
180	Action Accelerator	Instinctively...	Dynamic	Safety & Trust	Knowing that you are protected, **instinctively**, deep inside... this is an ancient knowing	#B3E5FC					
